normalized_model,model_family,accelerator_type,accuracy,baseline_accuracy,accuracy_drop,accuracy_drop_percent
resnet18_mish_w1_0,ResNet-18,Mobilint-ARIES,71.11,71.96,0.8499999999999943,1.181211784324617
resnet18_prelu_w1_0,ResNet-18,Mobilint-ARIES,69.25,69.95,0.7000000000000028,1.0007147962830634
resnet18_relu_w1_0,ResNet-18,Mobilint-ARIES,70.86,71.03,0.1700000000000017,0.2393354920456169
resnet18_relu6_w1_0,ResNet-18,Mobilint-ARIES,71.14,71.24,0.09999999999999432,0.14037057832677474
resnet18_selu_w1_0,ResNet-18,Mobilint-ARIES,64.51,66.79,2.280000000000001,3.4136846833358305
resnet18_silu_w1_0,ResNet-18,Mobilint-ARIES,71.25,72.54,1.2900000000000063,1.778329197684045
resnet18_gelu_w1_0,ResNet-18,DeepX M1,72.16,72.21,0.04999999999999716,0.06924248719013594
resnet18_hardswish_w1_0,ResNet-18,DeepX M1,70.93,71.43,0.5,0.6999860002799944
resnet18_leakyrelu_w1_0,ResNet-18,DeepX M1,71.17,71.54,0.37000000000000455,0.5171931786413259
resnet18_mish_w1_0,ResNet-18,DeepX M1,71.86,71.96,0.09999999999999432,0.1389660922734774
resnet18_prelu_w1_0,ResNet-18,DeepX M1,0.1,69.95,69.85000000000001,99.85704074338815
resnet18_relu6_w1_0,ResNet-18,DeepX M1,71.03,71.24,0.20999999999999375,0.2947782144862349
resnet18_relu_w1_0,ResNet-18,DeepX M1,70.91,71.03,0.12000000000000455,0.168942700267499
resnet18_selu_w1_0,ResNet-18,DeepX M1,66.72,66.79,0.07000000000000739,0.10480610869891807
resnet18_silu_w1_0,ResNet-18,DeepX M1,71.84,72.54,0.7000000000000028,0.9649848359525818
resnet18_elu_w1_0,ResNet-18,Hailo-8,68.47,68.68,0.21000000000000796,0.3057658707047291
resnet18_gelu_w1_0,ResNet-18,Hailo-8,71.56,72.21,0.6499999999999915,0.9001523334718067
resnet18_hardswish_w1_0,ResNet-18,Hailo-8,70.79,71.43,0.6400000000000006,0.8959820803583936
resnet18_leakyrelu_w1_0,ResNet-18,Hailo-8,71.35,71.54,0.19000000000001194,0.26558568632934293
resnet18_mish_w1_0,ResNet-18,Hailo-8,71.64,71.96,0.3199999999999932,0.4446914952751434
resnet18_prelu_w1_0,ResNet-18,Hailo-8,69.56,69.95,0.39000000000000057,0.5575411007862766
resnet18_relu6_w1_0,ResNet-18,Hailo-8,71.0,71.24,0.23999999999999488,0.3368893879842713
resnet18_relu_w1_0,ResNet-18,Hailo-8,70.79,71.03,0.23999999999999488,0.337885400534978
resnet18_silu_w1_0,ResNet-18,Hailo-8,72.09,72.54,0.45000000000000284,0.6203473945409468
resnet18_gelu_w1_0,ResNet-18,Qualcomm QCS6490,71.88,72.21,0.3299999999999983,0.4570004154549208
resnet18_hardswish_w1_0,ResNet-18,Qualcomm QCS6490,70.01,71.43,1.4200000000000017,1.9879602407951862
